# source=Family 1, view=Singularity, params=baseline_3dof, exported=2026-06-23, key=|det J| floor 0.02, 46x46 grid
x,y,reachable,detJ
-0.1674,1.0886,0,
-0.1674,1.1179,0,
-0.1674,1.1473,0,
-0.1674,1.1766,0,
-0.1674,1.2060,0,
-0.1674,1.2353,0,
-0.1196,-0.0853,1,0.00395
-0.1196,-0.0560,1,0.00337
-0.1196,-0.0266,1,0.00271
-0.1196,0.0027,1,0.00197
-0.1196,0.0321,1,0.00116
-0.1196,0.0614,1,0.00027
-0.1196,0.0908,1,0.00068
-0.1196,0.1201,1,0.00170
-0.1196,0.1495,1,0.00278
-0.1196,0.1788,1,0.00392
-0.1196,0.2082,1,0.00511
-0.1196,0.2375,1,0.00635
-0.1196,0.2668,1,0.00763
-0.1196,0.2962,1,0.00897
-0.1196,0.3255,1,0.01036
-0.1196,0.3549,1,0.01181
